#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-1.057586e-15 1.000000e+00 -2.119171e-15 2.029423e+00 -5.041476e-15 5.472079e+00 1.000000e-16 -2.268718e-01 1.000000e-16 1.788473e-01 1.000000e-16 5.835908e-05 
-1.122625e-15 1.000000e+00 -2.246575e-15 1.988967e+00 -4.878724e-15 5.213090e+00 1.000000e-16 -2.939178e-01 1.000000e-16 1.976841e-01 1.000000e-16 4.823405e-04 
-1.750653e-15 1.000000e+00 -1.139824e-14 2.967132e+00 -9.767763e-14 1.451710e+01 1.000000e-16 4.914797e-01 1.000000e-16 1.433272e-03 1.000000e-16 3.422941e-07 
-1.383491e-15 1.000000e+00 -7.931994e-15 2.771783e+00 -6.022316e-14 1.198458e+01 1.000000e-16 4.266015e-01 1.000000e-16 1.321516e-02 1.000000e-16 3.876503e-06 
-1.684902e-15 1.000000e+00 -1.072635e-14 2.933301e+00 -8.954454e-14 1.403998e+01 1.000000e-16 4.820275e-01 1.000000e-16 3.059261e-03 1.000000e-16 5.936542e-07 
-1.598082e-15 1.000000e+00 -1.051338e-14 2.922376e+00 -8.655605e-14 1.389004e+01 1.000000e-16 4.788061e-01 1.000000e-16 3.624772e-03 1.000000e-16 1.932396e-07 
-1.753949e-15 1.000000e+00 -1.122958e-14 2.953562e+00 -9.446864e-14 1.432343e+01 1.000000e-16 4.877730e-01 1.000000e-16 2.066487e-03 1.000000e-16 4.644073e-07 
-1.773532e-15 1.000000e+00 -1.205171e-14 2.997455e+00 -1.070480e-13 1.496166e+01 1.000000e-16 4.993762e-01 1.000000e-16 1.016571e-04 1.000000e-16 3.208314e-07 
-1.720326e-15 1.000000e+00 -1.105236e-14 2.951878e+00 -9.368720e-14 1.429976e+01 1.000000e-16 4.872938e-01 1.000000e-16 2.150806e-03 1.000000e-16 1.960867e-07 
-1.853537e-15 1.000000e+00 -1.286645e-14 3.036086e+00 -1.211556e-13 1.555484e+01 1.000000e-16 5.086574e-01 1.000000e-16 -1.427840e-03 1.000000e-16 2.723167e-07 
-1.910778e-15 1.000000e+00 -1.320319e-14 3.047694e+00 -1.259594e-13 1.573949e+01 1.000000e-16 5.112931e-01 1.000000e-16 -1.857016e-03 1.000000e-16 5.525229e-07 
-1.652769e-15 1.000000e+00 -9.758905e-15 2.883828e+00 -7.838123e-14 1.337440e+01 1.000000e-16 4.668946e-01 1.000000e-16 5.737469e-03 1.000000e-16 3.409932e-07 
-1.039501e-15 1.000000e+00 -2.385298e-15 2.073137e+00 -5.250476e-15 5.756800e+00 1.000000e-16 -1.534221e-01 1.000000e-16 1.560228e-01 1.000000e-16 3.768854e-04 
-1.702869e-15 1.000000e+00 -1.090795e-14 2.943237e+00 -9.177867e-14 1.417830e+01 1.000000e-16 4.848648e-01 1.000000e-16 2.569508e-03 1.000000e-16 2.321628e-07 
-1.572050e-15 1.000000e+00 -9.565626e-15 2.864525e+00 -7.607921e-14 1.312388e+01 1.000000e-16 4.605730e-01 1.000000e-16 6.877413e-03 1.000000e-16 6.594402e-07 
-1.919366e-15 1.000000e+00 -1.385411e-14 3.072950e+00 -1.378828e-13 1.615437e+01 1.000000e-16 5.167331e-01 1.000000e-16 -2.727581e-03 1.000000e-16 6.255602e-07 
-3.445690e-15 1.000000e+00 -1.516586e-13 3.265003e+00 -1.332481e-11 3.099688e+01 1.000000e-16 5.284579e-01 1.000000e-16 -4.438677e-03 1.000000e-16 6.005290e-07 
-1.744945e-15 1.000000e+00 -1.068272e-14 2.931807e+00 -8.933860e-14 1.401946e+01 1.000000e-16 4.815850e-01 1.000000e-16 3.137888e-03 1.000000e-16 3.715640e-07 
-1.367161e-15 1.000000e+00 -7.127456e-15 2.702909e+00 -5.039369e-14 1.120075e+01 1.000000e-16 3.969583e-01 1.000000e-16 1.905290e-02 1.000000e-16 1.343605e-06 
-1.607840e-15 1.000000e+00 -9.930924e-15 2.892037e+00 -8.039443e-14 1.348240e+01 1.000000e-16 4.695164e-01 1.000000e-16 5.267199e-03 1.000000e-16 4.373279e-07 
-1.556484e-15 1.000000e+00 -9.557172e-15 2.855021e+00 -7.467601e-14 1.300250e+01 1.000000e-16 4.573520e-01 1.000000e-16 7.466673e-03 1.000000e-16 3.322202e-07 
-1.721351e-15 1.000000e+00 -1.134914e-14 2.971614e+00 -9.906798e-14 1.458185e+01 1.000000e-16 4.926745e-01 1.000000e-16 1.231251e-03 1.000000e-16 1.799842e-07 
-1.678254e-15 1.000000e+00 -1.001848e-14 2.896145e+00 -8.103955e-14 1.353677e+01 1.000000e-16 4.708133e-01 1.000000e-16 5.035209e-03 1.000000e-16 5.244303e-07 
-1.715657e-15 1.000000e+00 -1.033383e-14 2.915156e+00 -8.539965e-14 1.379171e+01 1.000000e-16 4.766575e-01 1.000000e-16 4.000198e-03 1.000000e-16 4.858500e-07 
-1.562905e-15 1.000000e+00 -9.616200e-15 2.861211e+00 -7.559483e-14 1.308141e+01 1.000000e-16 4.594590e-01 1.000000e-16 7.080409e-03 1.000000e-16 6.093364e-07 
-9.966835e-16 1.000000e+00 -2.965199e-15 2.415159e+00 -1.379442e-14 8.348077e+00 1.000000e-16 2.371764e-01 1.000000e-16 4.982839e-02 1.000000e-16 8.839006e-04 
-1.514060e-15 1.000000e+00 -8.627101e-15 2.796762e+00 -6.590263e-14 1.228197e+01 1.000000e-16 4.363049e-01 1.000000e-16 1.138205e-02 1.000000e-16 7.958394e-07 
-1.923431e-15 1.000000e+00 -1.437817e-14 3.089105e+00 -1.473565e-13 1.643150e+01 1.000000e-16 5.200025e-01 1.000000e-16 -3.241211e-03 1.000000e-16 4.537950e-07 
